game_id,game_number,game_code,date,start_time,venue,home_team,away_team,home_ioc,away_ioc,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,status,round,group,tournament,scraped_at,home_innings,away_innings,scorers,technical_commissioners
173247,1,A02,2025-07-21,2025-07-21 09:00:00,"Campus Arrosadia UPNA, Navarra",Poland,Sweden,POL,SWE,3,2,3,4,3,4,F,0,0,,2025-07-25T20:41:54.613902,"0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173249,2,B02,2025-07-21,2025-07-21 09:00:00,Campo de Béisbol de Irabia,Germany,Hungary,GER,HUN,10,0,8,0,0,3,F,0,0,,2025-07-25T20:41:54.613927,"0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173244,3,C01,2025-07-21,2025-07-21 11:15:00,Campo de Béisbol de Irabia,Belgium,Austria,BEL,AUT,3,12,4,9,3,1,F,0,0,,2025-07-25T20:41:54.613941,"0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173248,4,X02,2025-07-21,2025-07-21 12:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Israel,Czechia,ISR,CZE,0,19,0,15,3,0,F,0,0,,2025-07-25T20:41:54.613953,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173252,5,A01,2025-07-21,2025-07-21 12:00:00,"Campus Arrosadia UPNA, Navarra",Spain,Poland,ESP,POL,15,0,9,1,0,1,F,0,0,,2025-07-25T20:41:54.613964,"3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173245,6,B01,2025-07-21,2025-07-21 13:30:00,Campo de Béisbol de Irabia,Croatia,Germany,CRO,GER,1,11,2,8,3,1,F,0,0,,2025-07-25T20:41:54.613975,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173251,7,Y02,2025-07-21,2025-07-21 14:30:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Ukraine,Ireland,UKR,IRL,0,16,1,14,4,1,F,0,0,,2025-07-25T20:41:54.613986,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173246,8,X01,2025-07-21,2025-07-21 15:45:00,"Campus Arrosadia UPNA, Navarra",Great Britain,Netherlands,GBR,NED,4,8,7,14,1,1,F,0,0,,2025-07-25T20:41:54.613996,"0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173250,9,C02,2025-07-21,2025-07-21 15:45:00,Campo de Béisbol de Irabia,Austria,Türkiye,AUT,TUR,2,1,5,5,2,4,F,0,0,,2025-07-25T20:41:54.614006,"0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173253,10,Y01,2025-07-21,2025-07-21 18:00:00,"Campus Arrosadia UPNA, Navarra",France,Italy,FRA,ITA,1,3,4,4,3,0,F,0,0,,2025-07-25T20:41:54.614016,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173254,11,B03,2025-07-21,2025-07-21 18:00:00,Campo de Béisbol de Irabia,Hungary,Croatia,HUN,CRO,8,9,3,6,7,4,F,0,0,,2025-07-25T20:41:54.614026,"1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173256,12,A03,2025-07-21,2025-07-21 19:30:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Sweden,Spain,SWE,ESP,2,18,3,15,4,1,F,0,0,,2025-07-25T20:41:54.614036,"2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","10,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173255,13,C03,2025-07-21,2025-07-21 20:00:00,"Campus Arrosadia UPNA, Navarra",Türkiye,Belgium,TUR,BEL,4,7,9,3,7,3,F,0,0,,2025-07-25T20:41:54.614046,"1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173441,14,Y03,2025-07-22,2025-07-22 09:00:00,"Campus Arrosadia UPNA, Navarra",Italy,Ukraine,ITA,UKR,9,0,10,2,0,1,F,0,0,,2025-07-25T20:41:54.614063,"2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173442,15,Y04,2025-07-22,2025-07-22 09:00:00,Campo de Béisbol de Irabia,Austria,Germany,AUT,GER,2,6,4,9,4,4,F,0,0,,2025-07-25T20:41:54.614073,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173444,16,Y05,2025-07-22,2025-07-22 11:15:00,"Campus Arrosadia UPNA, Navarra",Ireland,France,IRL,FRA,10,9,13,5,1,5,F,0,0,,2025-07-25T20:41:54.614082,"0,0,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173443,17,X03,2025-07-22,2025-07-22 11:15:00,Campo de Béisbol de Irabia,Great Britain,Spain,GBR,ESP,1,3,6,4,0,2,F,0,0,,2025-07-25T20:41:54.614092,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173445,18,X04,2025-07-22,2025-07-22 12:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Netherlands,Israel,NED,ISR,15,0,7,2,0,2,F,0,0,,2025-07-25T20:41:54.614102,"10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173446,19,Y06,2025-07-22,2025-07-22 13:30:00,"Campus Arrosadia UPNA, Navarra",Austria,Italy,AUT,ITA,0,10,1,10,5,0,F,0,0,,2025-07-25T20:41:54.614114,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173447,20,F01,2025-07-22,2025-07-22 13:30:00,Campo de Béisbol de Irabia,Türkiye,Hungary,TUR,HUN,3,8,5,6,6,2,F,0,0,,2025-07-25T20:41:54.614123,"0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173448,21,F02,2025-07-22,2025-07-22 14:30:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Belgium,Croatia,BEL,CRO,2,10,4,11,4,1,F,0,0,,2025-07-25T20:41:54.614133,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173449,22,Y07,2025-07-22,2025-07-22 15:45:00,"Campus Arrosadia UPNA, Navarra",Germany,Ireland,GER,IRL,3,7,4,11,0,3,F,0,0,,2025-07-25T20:41:54.614143,"1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173450,23,F03,2025-07-22,2025-07-22 17:15:00,Campo de Béisbol de Irabia,Poland,Türkiye,POL,TUR,14,8,11,9,2,4,F,0,0,,2025-07-25T20:41:54.614153,"2,5,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
