game_id,game_number,game_code,date,start_time,venue,home_team,away_team,home_ioc,away_ioc,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,status,round,group,tournament,scraped_at,home_innings,away_innings,scorers,technical_commissioners
170274,1,,2025-07-25,2025-07-25 10:30:00,ASPAC Youth,Mexico,Australia,MEX,AUS,10,0,12,0,0,2,F,0,0,,2025-07-25T20:45:31.384893,"3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170278,2,,2025-07-25,2025-07-25 10:30:00,ASPAC B,Czechia,Dominican Republic,CZE,DOM,8,14,10,15,1,1,F,0,0,,2025-07-25T20:45:31.384911,"3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,5,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170280,3,,2025-07-25,2025-07-25 14:30:00,ASPAC Youth,Japan,Germany,JPN,GER,17,0,12,0,0,5,F,0,0,,2025-07-25T20:45:31.384921,"0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170282,4,,2025-07-25,2025-07-25 14:30:00,ASPAC B,Panama,United States of America,PAN,USA,2,8,1,9,2,0,F,0,0,,2025-07-25T20:45:31.384929,"1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170284,5,,2025-07-25,2025-07-25 18:30:00,ASPAC Youth,Chinese Taipei,Cuba,TPE,CUB,6,3,9,7,1,2,F,0,0,,2025-07-25T20:45:31.384937,"1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170286,6,,2025-07-25,2025-07-25 19:30:00,ASPAC B,Korea,South Africa,KOR,RSA,17,0,10,1,0,5,F,0,0,,2025-07-25T20:45:31.384944,"6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170287,7,,2025-07-26,2025-07-26 10:30:00,ASPAC Youth,United States of America,Czechia,USA,CZE,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384951,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170288,8,,2025-07-26,2025-07-26 10:30:00,ASPAC B,Mexico,Germany,MEX,GER,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384958,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170289,9,,2025-07-26,2025-07-26 14:30:00,ASPAC Youth,Panama,South Africa,PAN,RSA,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384964,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170290,10,,2025-07-26,2025-07-26 14:30:00,ASPAC B,Japan,Cuba,JPN,CUB,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384970,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170291,11,,2025-07-26,2025-07-26 18:30:00,ASPAC Youth,Australia,Chinese Taipei,AUS,TPE,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384976,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170292,12,,2025-07-26,2025-07-26 18:30:00,ASPAC B,Dominican Republic,Korea,DOM,KOR,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384981,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170301,13,,2025-07-27,2025-07-27 10:30:00,ASPAC Youth,Cuba,Mexico,CUB,MEX,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384987,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170302,14,,2025-07-27,2025-07-27 10:30:00,ASPAC B,South Africa,United States of America,RSA,USA,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384993,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170303,15,,2025-07-27,2025-07-27 14:30:00,ASPAC Youth,Korea,Czechia,KOR,CZE,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.384999,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170304,16,,2025-07-27,2025-07-27 14:30:00,ASPAC B,Panama,Dominican Republic,PAN,DOM,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385005,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170306,17,,2025-07-27,2025-07-27 18:30:00,ASPAC Youth,Chinese Taipei,Japan,TPE,JPN,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385010,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170308,18,,2025-07-27,2025-07-27 18:30:00,ASPAC B,Germany,Australia,GER,AUS,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385016,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170311,19,,2025-07-28,2025-07-28 10:30:00,ASPAC Youth,Czechia,Panama,CZE,PAN,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385022,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170313,20,,2025-07-28,2025-07-28 10:30:00,ASPAC B,Dominican Republic,South Africa,DOM,RSA,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385028,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170315,21,,2025-07-28,2025-07-28 14:30:00,ASPAC Youth,Mexico,Japan,MEX,JPN,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385033,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170317,22,,2025-07-28,2025-07-28 14:30:00,ASPAC B,Australia,Cuba,AUS,CUB,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385038,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170319,23,,2025-07-28,2025-07-28 18:30:00,ASPAC Youth,Germany,Chinese Taipei,GER,TPE,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385044,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170321,24,,2025-07-28,2025-07-28 18:30:00,ASPAC B,United States of America,Korea,USA,KOR,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385050,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
170323,25,,2025-07-29,2025-07-29 10:30:00,ASPAC Youth,Japan,Australia,JPN,AUS,0,0,0,0,0,0,,0,0,,2025-07-25T20:45:31.385055,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
